metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Rare Earths,Primary - Ion Adsorption Clay,2010,Central Asia,Catalysts,Hydro-dominated Grid,Road,97.5,5.796,570.136,1.99,8.01,6267.97,0.109,10.61,8.6,1,117.81,6.23,0.964,Closed Loop Recycling,Medium,0.02596,Primary,End-of-Life,3.3244,2.4716,Hybrid,Closed Loop,80.68,30.0,650,430.6,37,6.7332,Yes,0.08913,0.01751,1.3257,0.03085,0.82,Increase recycled content in feedstock
Copper,Secondary - Recycled,2011,Canada,EV Motors,Mixed Grid (China),Combined (Road+Sea),4146.0,1.0173,13.188,67.49,42.6,75.52,0.0018,73.84,49.1,3,9.96,56.54,0.835,Remanufacturing,Low,0.34619,Secondary,Extraction,0.7325,0.2848,Circular,Closed Loop,68.21,3.2,546,97.8,28,4.1666,No,0.0021,0.02711,2.0298,0.03413,0.96,Maintain current circular practices; explore renewable energy
Zinc,Primary - Imperial Smelting,2013,Brazil,Die Casting,Mixed Grid (China),Sea Freight,5102.7,4.5856,35.557,82.7,4.87,199.46,0.0129,87.14,29.1,4,3.85,59.06,0.785,Open Loop Recycling,Medium,0.62374,Primary,Manufacturing,2.5391,2.0465,Conventional,Open Loop,-47.92,3.1,1282,318.9,30,6.734,Yes,0.01124,0.03446,0.1639,0.12977,0.61,Optimise production process efficiency
Manganese,Primary - Electrolytic,2015,South Africa,Steel Alloying,Mixed Grid (Global Avg),Sea Freight,5624.1,2.0258,26.603,54.88,6.55,93.59,0.0044,40.14,14.8,4,2.48,35.56,0.793,Remanufacturing,Medium,0.71284,Primary,Extraction,1.2472,0.7786,Hybrid,Closed Loop,-55.83,1.3,1402,440.6,38,3.9055,Yes,0.0043,0.0243,2.4289,0.11395,0.71,Optimise production process efficiency
Nickel,Primary - Sulphide Ore,2024,Peru,Stainless Steel,Coal Grid,Road,142.7,9.9139,161.316,67.95,0.78,353.31,0.0181,65.31,20.7,4,16.13,46.53,0.657,Open Loop Recycling,Medium,0.02621,Primary,Manufacturing,5.5012,4.4127,Conventional,Open Loop,23.74,13.0,1293,295.8,8,7.564,No,0.01909,0.03994,1.1776,0.08289,0.69,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining,2019,Central Asia,Electrical,Natural Gas Grid,Road,152.2,6.2826,185.332,73.39,0.57,2073.26,0.055,71.28,30.1,3,3.2,49.43,0.606,Urban Mining,Medium,0.03605,Primary,Extraction,4.4251,1.8575,Conventional,Open Loop,45.37,11.5,1050,372.7,24,3.5235,No,0.06073,0.03001,1.1551,0.02461,0.72,Increase recycled content in feedstock
Lithium,Hard Rock Mining (Spodumene),2021,Middle East,Medical Devices,Mixed Grid (China),Air Freight,4954.1,6.0595,160.623,4.42,6.47,3460.84,0.0114,54.04,10.3,3,39.69,21.3,0.673,Closed Loop Recycling,Medium,0.61419,Primary,Use,3.6073,2.4522,Hybrid,Closed Loop,24.26,8.0,1374,109.6,17,8.0571,No,0.01343,0.00961,2.1544,0.09241,0.81,Increase recycled content in feedstock
Zinc,Primary - Imperial Smelting,2011,Russia,Galvanizing,Renewable Grid,Pipeline,931.7,0.497,52.473,73.44,4.13,121.33,0.0124,73.45,21.8,3,3.6,50.81,0.844,Landfill,Low,0.10574,Primary,Extraction,0.3058,0.1912,Conventional,Linear,83.97,3.1,1230,382.5,44,6.8528,No,0.01565,0.01335,1.7134,0.0463,0.56,Increase recycled content in feedstock
Platinum,Secondary - Autocatalyst Recycling,2013,Peru,Fuel Cells,Nuclear Grid,Rail,1478.3,266.5016,21369.811,68.72,20.65,7536.57,0.3771,67.8,47.1,5,34387.09,52.27,0.733,Open Loop Recycling,Very High,0.10089,Secondary,Use,167.7455,98.7561,Hybrid,Open Loop,97.9,12700,867,428.0,10,8.0703,Yes,0.38539,0.04055,1.3687,0.09618,0.89,Maintain current circular practices; explore renewable energy
Lithium,Brine Extraction,2010,Central Asia,Grid Storage,Mixed Grid (India),Rail,1998.8,11.3772,87.625,4.31,1.3,1952.82,0.0103,43.98,7.1,1,67.05,15.71,0.709,Reuse,High,0.24147,Primary,Extraction,8.3796,2.9976,Hybrid,Closed Loop,-42.22,8.0,577,291.7,31,6.7399,No,0.01175,0.00939,0.5951,0.11243,0.75,Optimise production process efficiency
Lithium,Secondary - Battery Recycling,2017,India,Medical Devices,Hydro-dominated Grid,Road,245.6,1.3053,45.943,4.09,0.84,331.0,0.0046,41.46,5.4,3,40.4,16.29,0.583,Open Loop Recycling,Low,0.03823,Secondary,Processing,0.8387,0.4666,Hybrid,Open Loop,83.68,8.0,746,23.1,14,8.2455,Yes,0.00597,0.00972,0.1886,0.05173,0.85,Reduce material losses in processing
Copper,Primary - Low Grade Ore,2018,Southeast Asia,Plumbing,Natural Gas Grid,Road,491.1,3.5084,72.981,71.6,5.22,327.76,0.0036,60.44,33.8,4,10.56,47.24,0.874,Closed Loop Recycling,Medium,0.13139,Primary,Extraction,2.4943,1.0141,Hybrid,Closed Loop,-9.64,3.2,1550,71.9,8,0.5744,Partial,0.00468,0.02312,2.3131,0.02567,0.75,Increase recycled content in feedstock
Nickel,Primary - Laterite (Smelting),2021,Southeast Asia,Electroplating,Coal Grid,Rail,524.6,20.2841,189.887,73.44,6.8,410.02,0.015,59.28,20.5,4,21.01,47.85,0.675,Incineration,High,0.10966,Primary,Manufacturing,13.0275,7.2566,Conventional,Linear,-56.03,13.0,1386,443.0,15,6.2357,No,0.01291,0.04126,0.8097,0.05241,0.97,Switch to renewable energy grid
Platinum,Primary Mining (South Africa),2015,Peru,Jewellery,Mixed Grid (China),Road,495.5,12506.5601,151480.608,71.95,4.96,242173.32,7.3048,60.91,45.5,5,37290.9,48.2,0.737,Urban Mining,Very High,0.12337,Primary,Manufacturing,8009.3621,4497.198,Conventional,Open Loop,1.52,12700,797,32.6,7,6.6212,Yes,7.79346,0.02966,1.0119,0.03479,0.84,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2024,Russia,Pigments,Coal Grid,Sea Freight,4236.0,13.0604,168.742,26.24,9.92,313.34,0.0142,37.52,16.0,3,10.74,24.67,0.768,Incineration,High,0.67422,Primary,Extraction,7.2193,5.8411,Conventional,Linear,-4.48,12.5,1470,444.1,18,1.9161,No,0.01168,0.01498,1.6701,0.07114,0.88,Increase recycled content in feedstock
Magnesium,Electrolytic (Brine),2020,Middle East,Sports Equipment,Mixed Grid (India),Rail,1007.8,9.4843,175.296,41.2,8.31,224.62,0.0408,35.62,8.2,2,3.4,28.27,0.756,Closed Loop Recycling,Medium,0.27035,Primary,Extraction,5.9838,3.5005,Hybrid,Closed Loop,32.26,14.0,1287,5.4,34,8.2285,Partial,0.0488,0.0133,0.1723,0.1026,0.57,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2010,DRC,Stainless Steel,Mixed Grid (EU),Road,391.0,6.6314,168.609,33.31,2.33,270.43,0.014,28.68,30.8,2,13.27,22.23,0.724,Incineration,Medium,0.08156,Primary,Processing,4.0204,2.611,Conventional,Linear,46.95,12.5,1223,403.3,12,4.7327,No,0.01423,0.02342,0.6565,0.05669,0.97,Increase recycled content in feedstock
Silver,Primary Mining (Copper Byproduct),2015,Peru,Solar Panels,Renewable Grid,Rail,934.9,9.9425,1916.068,65.0,2.95,1593.33,0.2806,69.27,17.1,4,849.38,47.12,0.737,Urban Mining,Medium,0.15556,Primary,End-of-Life,6.3781,3.5644,Conventional,Open Loop,90.62,106,1288,417.3,6,2.241,No,0.32122,0.02586,0.4758,0.13664,0.89,Increase recycled content in feedstock
Silver,Primary Mining (Lead-Zinc Byproduct),2020,Middle East,Solar Panels,Nuclear Grid,Pipeline,770.7,23.1515,1551.645,74.34,3.75,1812.29,0.2194,65.66,17.5,3,788.23,48.72,0.91,Urban Mining,High,0.17672,Primary,End-of-Life,16.1511,7.0004,Conventional,Open Loop,78.16,106,1465,372.3,1,2.6109,No,0.24682,0.00026,2.2454,0.07875,0.88,Increase recycled content in feedstock
Cobalt,Secondary - Superalloy Recycling,2024,China,EV Batteries,Mixed Grid (China),Sea Freight,6246.4,3.9215,46.553,60.18,32.85,104.68,0.0028,62.42,16.8,3,34.57,48.61,0.821,Closed Loop Recycling,Medium,1.10069,Secondary,Manufacturing,2.6021,1.3194,Circular,Closed Loop,53.86,8.5,870,40.9,19,4.1759,No,0.00305,0.0363,0.4948,0.1036,0.73,Maintain current circular practices; explore renewable energy
Germanium,Secondary - Fiber Optics Recycling,2013,Australia,Fiber Optics,Nuclear Grid,Rail,1296.6,38.2752,2266.321,34.76,11.42,1146.47,0.1889,35.16,15.5,2,1385.24,26.5,0.943,Open Loop Recycling,High,0.223,Secondary,Extraction,22.6089,15.6663,Hybrid,Open Loop,97.01,1280,439,463.0,31,5.5233,Partial,0.16636,0.02442,1.7393,0.0838,0.8,Maintain current circular practices; explore renewable energy
Gold,Open Pit Mining,2017,Russia,Electronics,Natural Gas Grid,Rail,1273.0,11392.3699,193250.922,26.96,3.73,212811.92,1.1332,25.15,94.9,5,60457.5,21.48,0.918,Closed Loop Recycling,Very High,0.37426,Primary,Manufacturing,7052.6865,4339.6834,Hybrid,Closed Loop,28.8,16000,825,329.8,12,3.1156,Yes,1.20965,0.00181,0.4381,0.03009,0.77,Increase recycled content in feedstock
Gallium,Primary - Zinc Byproduct,2011,Chile,Lasers,Mixed Grid (India),Pipeline,283.5,607.3365,8464.953,17.78,8.35,5438.77,0.5545,25.0,13.8,1,234.31,16.14,0.823,Urban Mining,Very High,0.07762,Primary,Use,340.2728,267.0637,Conventional,Open Loop,-14.59,530,888,122.6,20,0.6362,Partial,0.57489,0.0261,1.0098,0.02327,0.77,Increase recycled content in feedstock
Lithium,Hard Rock Mining (Spodumene),2024,South Africa,EV Batteries,Hydro-dominated Grid,Air Freight,3192.8,3.1206,121.893,4.85,6.48,4346.35,0.024,44.5,12.6,2,45.45,17.84,0.732,Remanufacturing,Medium,0.70183,Primary,End-of-Life,2.3368,0.7838,Hybrid,Closed Loop,60.99,8.0,1366,80.4,45,5.8348,Yes,0.02531,0.00029,1.7374,0.0373,0.59,Increase recycled content in feedstock
Indium,Secondary - ITO Recycling,2017,DRC,Flat Panel Displays (ITO),Mixed Grid (China),Air Freight,1748.3,27.19,324.609,33.8,19.32,186.81,0.0211,38.51,15.4,2,214.11,28.75,0.812,Open Loop Recycling,High,0.16556,Secondary,Use,17.8749,9.3151,Hybrid,Open Loop,83.72,167,377,265.8,43,2.0836,Yes,0.02357,0.03013,1.3506,0.13587,0.81,Maintain current circular practices; explore renewable energy
Nickel,Primary - Sulphide Ore,2021,Indonesia,Superalloys,Mixed Grid (India),Rail,1045.6,21.3577,118.732,69.41,4.71,266.53,0.0301,55.49,28.1,4,14.65,44.88,0.96,Urban Mining,High,0.19231,Primary,Extraction,15.0661,6.2916,Conventional,Open Loop,-64.29,13.0,717,482.8,12,6.695,Partial,0.03845,0.00491,1.0648,0.05232,0.82,Optimise production process efficiency
Lead,Secondary - Mixed Scrap,2010,Southeast Asia,Radiation Shielding,Nuclear Grid,Pipeline,678.1,0.2668,7.437,96.76,67.75,25.42,0.0029,91.15,20.9,4,2.4,77.76,0.734,Reuse,Low,0.18424,Secondary,Processing,0.1909,0.0759,Circular,Closed Loop,84.31,1.7,631,295.2,10,2.0804,No,0.00238,0.00845,0.752,0.0768,0.59,Maintain current circular practices; explore renewable energy
Silver,Secondary - Electronics Recycling,2021,Global Average,Jewellery,Hydro-dominated Grid,Road,55.1,4.3784,267.858,72.25,38.6,268.33,0.1128,74.95,33.3,4,727.27,58.49,0.83,Reuse,Medium,0.00314,Secondary,Extraction,2.7064,1.672,Circular,Closed Loop,95.87,106,888,415.8,11,1.9806,No,0.13635,0.0195,1.3818,0.00977,0.81,Maintain current circular practices; explore renewable energy
Platinum,Secondary - Industrial Recycling,2012,DRC,Catalysts (Auto),Coal Grid,Sea Freight,2753.3,1579.7767,20581.991,71.18,26.12,4532.05,0.673,63.08,28.4,5,30662.22,52.81,0.967,Reuse,Very High,0.46044,Secondary,Use,1024.0786,555.6981,Circular,Closed Loop,87.56,12700,286,138.8,5,7.2175,Yes,0.837,0.00014,0.7378,0.01587,0.99,Maintain current circular practices; explore renewable energy
Copper,Primary - Low Grade Ore,2011,Australia,Electronics,Coal Grid,Sea Freight,5999.2,5.1984,70.653,67.82,1.43,247.58,0.002,69.59,55.8,5,9.9,48.65,0.975,Landfill,Medium,0.86538,Primary,Processing,2.8977,2.3007,Conventional,Linear,-62.45,3.2,1550,101.2,27,1.1068,Yes,0.00205,0.02524,1.0073,0.03219,0.75,Switch to renewable energy grid
Zinc,Primary - Low Grade Ore,2013,Mexico,Galvanizing,Coal Grid,Sea Freight,7111.9,4.8836,39.521,87.23,2.73,205.61,0.0069,86.71,26.2,3,2.93,59.34,0.803,Reuse,Medium,1.86976,Primary,End-of-Life,3.1018,1.7818,Hybrid,Closed Loop,-57.54,3.1,543,240.1,15,6.8293,No,0.00827,0.02301,1.0187,0.10555,0.99,Switch to renewable energy grid
Titanium,Secondary - Aerospace Scrap,2024,India,Marine,Mixed Grid (India),Pipeline,218.0,5.374,58.026,25.29,8.24,175.67,0.0105,27.14,27.7,3,14.76,20.89,0.771,Incineration,Medium,0.0439,Secondary,Processing,3.6126,1.7614,Hybrid,Linear,84.65,35,865,343.4,41,0.5819,No,0.01054,0.02849,1.4557,0.06405,0.9,Transition to closed-loop recycling pathway
Nickel,Primary - Laterite (HPAL),2010,Zambia,Superalloys,Natural Gas Grid,Sea Freight,6007.3,14.02,126.081,71.62,7.16,492.81,0.0103,55.44,21.9,3,17.76,45.38,0.562,Incineration,High,0.86803,Primary,Manufacturing,7.9198,6.1002,Conventional,Linear,-7.85,13.0,1245,297.0,17,5.4846,No,0.01032,0.03545,1.689,0.0714,0.93,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2016,Brazil,Solar Cells,Natural Gas Grid,Sea Freight,3414.4,110.4226,1665.184,30.63,17.25,1090.24,0.1222,35.11,10.7,2,1350.25,26.2,0.899,Reuse,Very High,0.72369,Secondary,Manufacturing,69.9303,40.4923,Circular,Closed Loop,91.37,1280,287,453.1,33,2.3296,No,0.1187,0.0227,1.7865,0.13339,0.71,Maintain current circular practices; explore renewable energy
Lithium,Secondary - Battery Recycling,2016,South Africa,Grid Storage,Mixed Grid (EU),Pipeline,368.0,2.5,49.591,4.74,0.63,345.54,0.0045,37.62,11.9,1,56.77,13.82,0.722,Reuse,Medium,0.03757,Secondary,Processing,1.719,0.781,Circular,Closed Loop,68.75,8.0,483,482.3,33,2.0019,No,0.00481,0.03409,2.0119,0.13681,0.64,Maintain current circular practices; explore renewable energy
Rare Earths,Primary - Monazite,2012,Global Average,Permanent Magnets,Mixed Grid (China),Road,107.6,26.0116,338.88,1.6,0.5,7291.77,0.0999,9.2,8.3,2,82.4,4.92,0.633,Closed Loop Recycling,High,0.02408,Primary,Manufacturing,15.9298,10.0818,Hybrid,Closed Loop,13.29,30.0,1558,452.0,13,6.4528,No,0.08179,0.00661,0.6682,0.00075,0.71,Increase recycled content in feedstock
Silver,Primary Mining (Lead-Zinc Byproduct),2019,Kazakhstan,Photography,Natural Gas Grid,Air Freight,4148.3,68.339,1690.491,77.92,6.12,2891.65,0.4576,67.69,29.9,3,756.95,51.05,0.917,Landfill,High,0.74271,Primary,Use,44.3729,23.9661,Conventional,Linear,35.53,106,527,78.1,31,6.9059,No,0.50744,0.0395,1.4697,0.08203,0.58,Increase recycled content in feedstock
Platinum,Secondary - Industrial Recycling,2017,Indonesia,Jewellery,Renewable Grid,Road,346.6,101.4103,30478.363,66.51,23.07,2562.03,0.501,72.47,38.7,5,32426.02,53.38,0.825,Incineration,Very High,0.1016,Secondary,Use,71.1702,30.2401,Hybrid,Linear,99.2,12700,203,481.3,29,6.1321,No,0.5922,0.0295,0.0074,0.12512,0.78,Transition to closed-loop recycling pathway
Copper,Primary - Sulphide Ore,2011,Middle East,Electronics,Mixed Grid (Global Avg),Combined (Road+Sea),5912.0,3.5564,79.711,71.08,6.83,300.03,0.0019,69.13,47.2,4,8.7,49.98,0.654,Remanufacturing,Medium,0.63649,Primary,Extraction,2.1723,1.3841,Hybrid,Closed Loop,-11.14,3.2,1405,128.1,41,1.3494,Yes,0.00237,0.02749,0.025,0.1097,0.69,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining (Low Grade),2015,Kazakhstan,Electrical,Mixed Grid (Global Avg),Road,161.9,13.8541,213.796,71.51,6.45,1825.13,0.0436,69.65,39.5,5,2.86,50.96,0.896,Remanufacturing,High,0.02833,Primary,Extraction,7.6618,6.1923,Hybrid,Closed Loop,-20.47,11.5,1246,388.5,7,5.2328,Yes,0.04496,0.04903,2.1667,0.12721,0.89,Increase recycled content in feedstock
Lithium,Secondary - Battery Recycling,2019,Peru,Consumer Electronics,Hydro-dominated Grid,Air Freight,696.9,0.7886,52.465,0.5,1.88,186.04,0.0067,31.63,7.0,3,25.0,12.29,0.968,Landfill,Low,0.03717,Secondary,Processing,0.5322,0.2564,Hybrid,Linear,90.14,8.0,411,339.4,16,1.1046,No,0.00547,0.03384,1.9861,0.08825,0.63,Implement end-of-life collection and recycling programme
Steel,Electric Arc Furnace (EAF),2012,Brazil,Construction,Mixed Grid (China),Pipeline,710.7,2.7102,16.39,85.02,6.72,37.11,0.0086,91.75,51.4,5,1.09,62.38,0.583,Urban Mining,Medium,0.1135,Primary,Extraction,1.5264,1.1838,Conventional,Open Loop,-42.64,1.9,1226,187.1,24,3.1142,No,0.00818,0.01896,1.5869,0.08333,0.99,Optimise production process efficiency
Silver,Secondary - Electronics Recycling,2018,Europe,Medical,Nuclear Grid,Road,86.2,4.5048,246.856,74.13,47.99,281.74,0.0836,72.63,40.0,5,798.45,61.08,0.558,Open Loop Recycling,Medium,0.01283,Secondary,Use,3.081,1.4238,Hybrid,Open Loop,95.75,106,203,392.2,26,0.523,No,0.10829,0.02399,1.3089,0.09387,0.98,Reduce material losses in processing
Tin,Primary - Alluvial Mining,2021,Canada,Tinplate,Natural Gas Grid,Combined (Road+Sea),5832.2,11.1653,260.863,71.42,9.37,398.75,0.0372,64.73,19.0,3,27.88,48.54,0.722,Incineration,High,1.14836,Primary,Manufacturing,6.3995,4.7658,Conventional,Linear,30.22,16.0,1571,202.7,2,6.3492,No,0.04516,0.02046,2.4345,0.10114,0.58,Increase recycled content in feedstock
Copper,Primary - Low Grade Ore,2020,Brazil,Electrical Wiring,Natural Gas Grid,Air Freight,4616.8,3.307,92.133,67.23,9.06,345.28,0.0038,62.7,40.1,4,9.59,47.15,0.659,Landfill,Medium,0.91196,Primary,Manufacturing,1.9469,1.3601,Conventional,Linear,-3.34,3.2,562,220.5,26,0.1968,Partial,0.00335,0.01466,0.9369,0.09016,0.87,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2012,Indonesia,Superalloys,Mixed Grid (EU),Road,156.9,7.1261,178.469,36.13,8.95,249.86,0.024,23.58,15.1,2,13.41,23.01,0.583,Closed Loop Recycling,Medium,0.04276,Primary,Extraction,4.6466,2.4795,Hybrid,Closed Loop,42.99,12.5,1000,106.9,45,7.6188,No,0.0296,0.04876,0.821,0.04993,0.91,Increase recycled content in feedstock
Steel,Blast Furnace - BOF (Coal),2021,Global Average,Infrastructure,Mixed Grid (EU),Pipeline,375.8,1.2345,18.523,90.55,4.77,27.94,0.004,85.02,79.0,5,0.87,61.9,0.856,Open Loop Recycling,Low,0.07175,Primary,Manufacturing,0.7761,0.4584,Conventional,Open Loop,35.03,1.9,434,192.6,13,2.2954,No,0.00404,0.0187,0.5894,0.07878,0.62,Increase recycled content in feedstock
Platinum,Secondary - Autocatalyst Recycling,2011,China,Jewellery,Mixed Grid (India),Pipeline,531.7,2103.4662,14475.843,65.22,27.43,4694.16,0.7635,67.27,22.7,4,37678.31,51.49,0.906,Urban Mining,Very High,0.05722,Secondary,Manufacturing,1412.6882,690.778,Hybrid,Open Loop,83.44,12700,802,476.3,38,3.4142,Partial,0.62996,0.03524,2.1375,0.10891,0.86,Maintain current circular practices; explore renewable energy
Steel,Electric Arc Furnace (EAF),2014,Brazil,Infrastructure,Renewable Grid,Combined (Road+Sea),1984.2,0.6343,18.447,90.94,3.4,60.14,0.0085,82.4,31.9,4,1.17,60.23,0.935,Urban Mining,Low,0.47902,Primary,End-of-Life,0.408,0.2263,Conventional,Open Loop,66.62,1.9,1055,259.0,3,2.466,No,0.00952,0.00973,2.4528,0.14066,0.79,Increase recycled content in feedstock
Steel,Direct Reduced Iron (DRI),2017,Zambia,Construction,Coal Grid,Rail,1835.4,3.415,18.279,91.17,9.93,46.46,0.0059,80.33,32.9,4,0.67,60.99,0.768,Reuse,Medium,0.2957,Primary,Manufacturing,2.1061,1.3089,Hybrid,Closed Loop,-79.74,1.9,682,401.1,25,1.0456,Yes,0.00732,0.04334,1.5316,0.12991,0.62,Switch to renewable energy grid
Titanium,Kroll Process (Rutile),2020,China,Chemical Processing,Mixed Grid (EU),Sea Freight,2314.6,20.209,323.829,22.58,8.57,422.8,0.0692,18.54,19.9,4,17.11,18.18,0.865,Closed Loop Recycling,High,0.23511,Primary,End-of-Life,11.9568,8.2522,Hybrid,Closed Loop,42.26,35,445,300.5,45,2.4895,No,0.08801,0.0036,0.4092,0.11868,0.67,Increase recycled content in feedstock
Tin,Primary - Alluvial Mining,2015,Kazakhstan,Solder,Coal Grid,Combined (Road+Sea),5838.7,21.3014,229.351,67.05,4.18,439.11,0.0257,72.56,18.6,3,29.96,48.32,0.667,Closed Loop Recycling,High,0.4023,Primary,Manufacturing,13.1232,8.1782,Hybrid,Closed Loop,-33.13,16.0,1300,303.5,39,0.2791,No,0.02667,0.0172,0.969,0.12781,0.89,Switch to renewable energy grid
Copper,Primary - Low Grade Ore,2010,Kazakhstan,Electrical Wiring,Nuclear Grid,Pipeline,383.2,0.7075,74.362,65.37,9.78,267.35,0.0042,59.72,45.3,5,9.44,46.5,0.686,Landfill,Low,0.0451,Primary,Use,0.4077,0.2998,Conventional,Linear,77.89,3.2,911,29.2,42,1.7986,No,0.00409,0.04319,2.438,0.06636,0.58,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining,2014,Mexico,Electrical,Nuclear Grid,Air Freight,3171.2,2.5454,165.554,79.96,7.39,2151.64,0.081,69.44,38.5,5,3.14,54.05,0.947,Open Loop Recycling,Medium,0.31403,Primary,Manufacturing,1.4555,1.0899,Conventional,Open Loop,77.87,11.5,507,142.8,16,3.403,No,0.08437,0.01904,1.217,0.05425,0.81,Increase recycled content in feedstock
Copper,Secondary - Recycled,2016,Chile,Plumbing,Mixed Grid (India),Air Freight,3005.6,0.8046,20.406,63.68,36.21,91.41,0.0009,68.97,56.4,5,9.49,53.97,0.912,Remanufacturing,Low,0.4189,Secondary,Processing,0.5622,0.2424,Circular,Closed Loop,74.86,3.2,335,136.0,39,3.2681,No,0.00093,0.02951,1.1797,0.04933,0.75,Maintain current circular practices; explore renewable energy
Germanium,Primary - Zinc Smelter Byproduct,2021,Russia,Semiconductors,Hydro-dominated Grid,Air Freight,2026.4,254.9758,17283.436,36.22,9.81,6837.19,2.287,39.55,14.1,3,939.41,28.75,0.731,Reuse,Very High,0.18721,Primary,Extraction,181.4947,73.4811,Hybrid,Closed Loop,80.08,1280,461,418.8,20,2.8564,Partial,1.85694,0.00825,1.7625,0.13252,0.68,Increase recycled content in feedstock
Titanium,Kroll Process (Ilmenite),2021,Russia,Medical Implants,Hydro-dominated Grid,Rail,1190.2,8.3187,409.477,25.17,9.43,396.42,0.069,29.87,36.7,2,13.95,21.16,0.693,Remanufacturing,Medium,0.15123,Primary,Manufacturing,4.9137,3.405,Hybrid,Closed Loop,76.23,35,1482,69.6,38,3.8095,Yes,0.06482,0.00614,1.6881,0.05809,0.67,Increase recycled content in feedstock
Platinum,Primary Mining (Russia),2018,Middle East,Fuel Cells,Mixed Grid (Global Avg),Road,225.4,11087.1512,204473.881,74.22,0.28,182524.52,5.3514,62.27,44.2,5,35024.76,48.46,0.736,Landfill,Very High,0.05873,Primary,End-of-Life,7253.0068,3834.1444,Conventional,Linear,12.7,12700,1436,302.4,38,3.3344,No,5.67078,0.024,1.0603,0.08477,0.59,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining (Low Grade),2019,Central Asia,Electrical,Mixed Grid (India),Rail,1443.3,11.5509,157.203,79.11,3.25,1824.62,0.0934,75.65,27.3,4,3.14,54.03,0.557,Reuse,High,0.31385,Primary,Manufacturing,6.6353,4.9156,Hybrid,Closed Loop,-0.44,11.5,890,162.1,3,6.3451,Yes,0.08804,0.00274,0.7043,0.04373,0.76,Increase recycled content in feedstock
Cobalt,Secondary - Superalloy Recycling,2016,Canada,EV Batteries,Coal Grid,Sea Freight,6439.2,2.8503,20.307,69.2,26.79,122.2,0.0042,55.33,15.9,3,32.61,48.43,0.556,Open Loop Recycling,Medium,0.89324,Secondary,Processing,1.8288,1.0215,Hybrid,Open Loop,66.47,8.5,663,69.3,20,2.3324,Partial,0.00368,0.02808,0.1603,0.09028,0.66,Reduce material losses in processing
Indium,Primary - Zinc Byproduct,2013,South Africa,Solar Cells (CIGS),Mixed Grid (China),Sea Freight,5116.4,178.6223,2300.41,41.98,4.34,1083.61,0.1661,41.73,17.9,3,237.93,30.33,0.868,Incineration,Very High,0.33731,Primary,Processing,117.8767,60.7456,Conventional,Linear,-6.96,167,967,452.5,30,2.7133,No,0.20531,0.01236,0.3106,0.03796,0.91,Increase recycled content in feedstock
Nickel,Primary - Laterite (Smelting),2015,Chile,EV Batteries,Natural Gas Grid,Air Freight,1634.2,7.6682,171.163,70.44,4.63,544.94,0.014,56.18,25.7,2,13.19,43.93,0.735,Urban Mining,Medium,0.0935,Primary,Processing,4.9059,2.7623,Conventional,Open Loop,41.01,13.0,744,490.8,2,1.9567,No,0.01486,0.02996,1.7234,0.10143,0.56,Increase recycled content in feedstock
Titanium,Kroll Process (Rutile),2012,Middle East,Chemical Processing,Mixed Grid (EU),Pipeline,263.4,27.2668,321.631,25.33,1.56,569.15,0.0477,27.65,37.4,3,13.91,19.72,0.821,Remanufacturing,High,0.06429,Primary,Manufacturing,17.914,9.3528,Hybrid,Closed Loop,22.09,35,1383,229.8,31,3.0578,No,0.04272,0.03274,1.5606,0.12572,0.82,Increase recycled content in feedstock
Manganese,Primary - Electrolytic,2019,Canada,EV Batteries,Mixed Grid (China),Combined (Road+Sea),3081.3,1.6193,17.607,42.87,3.17,105.91,0.0015,38.72,14.2,4,2.32,30.25,0.953,Reuse,Low,0.58924,Primary,Processing,1.2097,0.4096,Hybrid,Closed Loop,-24.56,1.3,1206,484.2,29,7.1222,No,0.00172,0.01529,1.6916,0.05922,0.66,Increase recycled content in feedstock
